autor;naturaleza_fo;instance;n_repeticiones;valor_fo_lns;valor_fo_alns
barrena2014;MIN;TT-10-1000-1-10;10;20,5781;20,48
barrena2014;MIN;TT-10-1000-1-5;10;38,4877;38,5836
barrena2014;MIN;TT-10-1000-2-10;10;21,2029;21,0688
barrena2014;MIN;TT-10-1000-2-5;10;39,5625;39,5501
barrena2014;MIN;TT-10-1000-4-10;10;21,2296;21,0804
barrena2014;MIN;TT-10-1000-4-5;10;39,9976;39,5316
barrena2014;MIN;TT-10-1200-1-10;10;21,1276;21,0262
barrena2014;MIN;TT-10-1200-1-5;10;40,9563;40,8634
barrena2014;MIN;TT-10-1200-2-10;10;21,6184;21,7258
barrena2014;MIN;TT-10-1200-2-5;10;41,8209;41,6758
barrena2014;MIN;TT-10-1200-4-10;10;21,76;21,7817
barrena2014;MIN;TT-10-1200-4-5;10;41,7032;41,6274
barrena2014;MIN;TT-10-200-1-10;10;9,32683;9,55862
barrena2014;MIN;TT-10-200-1-5;10;10,9413;11,3594
barrena2014;MIN;TT-10-200-2-10;10;9,17378;9,55896
barrena2014;MIN;TT-10-200-2-5;10;11,4378;11,6831
barrena2014;MIN;TT-10-200-4-10;10;8,14825;8,38061
barrena2014;MIN;TT-10-200-4-5;10;10,8811;11,0461
barrena2014;MIN;TT-10-400-1-10;10;22,1281;21,6911
barrena2014;MIN;TT-10-400-1-5;10;27,7702;27,4605
barrena2014;MIN;TT-10-400-2-10;10;22,4665;22,1947
barrena2014;MIN;TT-10-400-2-5;10;28,3036;28,0094
barrena2014;MIN;TT-10-400-4-10;10;22,1639;22,4575
barrena2014;MIN;TT-10-400-4-5;10;28,3539;27,597
barrena2014;MIN;TT-10-600-1-10;10;16,8728;16,7034
barrena2014;MIN;TT-10-600-1-5;10;25,6125;25,5469
barrena2014;MIN;TT-10-600-2-10;10;17,5933;17,3402
barrena2014;MIN;TT-10-600-2-5;10;26,1895;26,2053
barrena2014;MIN;TT-10-600-4-10;10;17,3393;17,4078
barrena2014;MIN;TT-10-600-4-5;10;26,2328;26,1459
barrena2014;MIN;TT-10-800-1-10;10;19,1792;18,8782
barrena2014;MIN;TT-10-800-1-5;10;36,507;36,0761
barrena2014;MIN;TT-10-800-2-10;10;19,8312;19,7365
barrena2014;MIN;TT-10-800-2-5;10;37,602;37,0379
barrena2014;MIN;TT-10-800-4-10;10;19,6576;19,7855
barrena2014;MIN;TT-10-800-4-5;10;37,1676;36,9053
barrena2014;MIN;TT-3-1000-1-10;10;8,50991;8,3157
barrena2014;MIN;TT-3-1000-1-5;10;17,6921;17,6978
barrena2014;MIN;TT-3-1000-2-10;10;9,03601;9,01009
barrena2014;MIN;TT-3-1000-2-5;10;18,3006;18,3006
barrena2014;MIN;TT-3-1000-4-10;10;9,01835;9,01811
barrena2014;MIN;TT-3-1000-4-5;10;18,6178;18,6178
barrena2014;MIN;TT-3-1200-1-10;10;8,53965;8,50141
barrena2014;MIN;TT-3-1200-1-5;10;18,0625;18,0622
barrena2014;MIN;TT-3-1200-2-10;10;9,16187;9,06674
barrena2014;MIN;TT-3-1200-2-5;10;18,6759;18,6759
barrena2014;MIN;TT-3-1200-4-10;10;9,1766;9,13885
barrena2014;MIN;TT-3-1200-4-5;10;19,0393;19,0393
barrena2014;MIN;TT-3-200-1-10;10;5,01074;4,98338
barrena2014;MIN;TT-3-200-1-5;10;6,2719;6,2719
barrena2014;MIN;TT-3-200-2-10;10;5,44217;5,51726
barrena2014;MIN;TT-3-200-2-5;10;6,90178;6,90178
barrena2014;MIN;TT-3-200-4-10;10;5,47762;5,57619
barrena2014;MIN;TT-3-200-4-5;10;6,93344;6,93344
barrena2014;MIN;TT-3-400-1-10;10;5,39631;5,34684
barrena2014;MIN;TT-3-400-1-5;10;9,08378;9,08786
